,signature_type,use,greenspace,job_types
E01008528,8,0,0,0.7104156658246714
E01008529,10,0,0,0.683100389139648
E01008530,7,0,0,0.5534151674377418
E01008531,4,0,0,0.5012483192189319
E01008532,4,0,0,0.501594791063892
E01008533,6,0,0,0.7028140598223358
E01008534,4,0,0,0.5034946843517968
E01008535,7,0,0,0.7047908112182716
E01008536,10,0,0,0.7081574964179342
E01008537,7,0,0,0.6422605281252194
E01008538,4,0,0,0.4996519574964554
E01008539,3,0,0,0.5076513617590785
E01008540,3,0,0,0.25526737249352377
E01008541,3,0,0,0.7056000720396446
E01008542,8,0,0,0.5448259856534098
E01008543,8,0,0,0.518007237684029
E01008544,11,0,0,0.4511182160242323
E01008545,7,0,0,0.6072760746456818
E01008546,10,0,0,0.599912846090684
E01008547,3,0,0,0.6357050549068942
E01008548,3,0,0,0.6364773212964778
E01008549,3,0,0,0.5873896088917749
E01008550,10,0,0,0.6269417602711235
E01008551,3,0,0,0.5191390002622345
E01008552,3,0,0,0.7395457019320505
E01008553,7,0,0,0.7199503510980124
E01008554,7,0,0,0.5577416822334655
E01008555,7,0,0,0.366323530902346
E01008556,3,0,0,0.6571104114413343
E01008557,3,0,0,0.4583757551147637
E01008558,11,0,0,0.5105038199263254
E01008559,10,0,0,0.6925778752279375
E01008560,10,0,0,0.6310244999665334
E01008561,11,0,0,0.4411128067083752
E01008562,8,0,0,0.6678719138963317
E01008563,8,0,0,0.7084884865791355
E01008564,3,0,0,0.7121302338668661
E01008565,4,0,0,0.4347609813767464
E01008567,4,0,0,0.7137707969420217
E01008568,6,0,0,0.5020152782738293
E01008569,3,0,0,0.6283873787718208
E01008570,3,0,0,0.7395554609903656
E01008571,11,0,0,0.6183800986542803
E01008572,11,0,0,0.48062538957421647
E01008573,10,0,0,0.6162620128989391
E01008574,8,0,0,0.7025274340850584
E01008575,10,0,0,0.5452382877044561
E01008576,8,0,0,0.33729298412152614
E01008577,3,0,0,0.5074024750951738
E01008578,4,0,0,0.5176770462145388
E01008579,3,0,0,0.5811159942018113
E01008580,8,0,0,0.5867704618859354
E01008581,4,0,0,0.5899444919323485
E01008582,3,0,0,0.5552382418273677
E01008583,3,0,0,0.27692458693010896
E01008584,10,0,0,0.7353157357193187
E01008585,10,0,0,0.71550589931559
E01008586,10,0,0,0.7802607287576602
E01008587,11,0,0,0.7284584946803371
E01008588,10,0,0,0.6653856838369971
E01008589,10,0,0,0.689451950266268
E01008590,10,0,0,0.6176803253428943
E01008591,10,0,0,0.5226980870176926
E01008592,10,0,0,0.6422369666711453
E01008593,4,0,0,0.6917139538220569
E01008594,8,0,0,0.9042698062515414
E01008595,11,0,0,0.6961089954419813
E01008596,10,0,0,0.7816017048697501
E01008597,10,0,0,0.6433335110565138
E01008598,10,0,0,0.6456838657668945
E01008599,10,0,0,0.36683504312953424
E01008600,3,0,0,0.3780453515263806
E01008601,4,0,0,0.26026234790438973
E01008602,6,0,0,0.6738358912875049
E01008603,6,0,0,0.6794099684102982
E01008604,3,0,0,0.3972709947623879
E01008605,4,0,0,0.6588881629008712
E01008606,4,0,0,0.6586095357593623
E01008607,5,0,0,0.6586206896551724
E01008608,7,0,0,0.6801303316143347
E01008609,8,0,0,0.6591359499789603
E01008610,4,0,0,0.7429205676378061
E01008611,3,0,0,0.2834989023645883
E01008612,4,0,0,0.2818504170763368
E01008613,3,0,0,0.5416364963163248
E01008614,6,0,0,0.67382233986809
E01008615,4,0,0,0.4652909647597575
E01008616,4,0,0,0.24656124868660328
E01008617,4,0,0,0.6315814972049273
E01008618,4,0,0,0.585195472055784
E01008619,4,0,0,0.6141559142584716
E01008620,4,0,0,0.3946090546944244
E01008621,4,0,0,0.6119528326138663
E01008622,6,0,0,0.6115250632899943
E01008624,4,0,0,0.3909292203089385
E01008625,6,0,0,0.6110290535192012
E01008627,4,0,0,0.5624621644555667
E01008628,4,0,0,0.5584771158911619
E01008629,3,0,0,0.5324524840815029
E01008630,3,0,0,0.5631312992668256
E01008631,4,0,0,0.404838160486279
E01008632,4,0,0,0.40283331279057
E01008633,7,0,0,0.5707162174166929
E01008634,7,0,0,0.593926860617198
E01008635,6,0,0,0.6625834576018029
E01008636,7,0,0,0.5360898523533678
E01008637,5,0,0,0.532028030486296
E01008638,3,0,0,0.3325768712115819
E01008639,3,0,0,0.6064924924673546
E01008640,11,0,0,0.332501721857709
E01008641,11,0,0,0.5484795236520423
E01008642,11,0,0,0.35188424056444667
E01008643,6,0,0,0.8581900102168335
E01008644,6,0,0,0.3917328434057388
E01008645,4,0,0,0.4211293064239241
E01008646,6,0,0,0.751107395415105
E01008647,6,0,0,0.5869375118436233
E01008648,7,0,0,0.5875444880727091
E01008649,4,0,0,0.5792925930884927
E01008650,6,0,0,0.766554550045465
E01008651,6,0,0,0.5796855933983521
E01008652,8,0,0,0.679281839454048
E01008653,7,0,0,0.6419523427871295
E01008654,8,0,0,0.6485131139384077
E01008655,7,0,0,0.7599227087753516
E01008656,4,0,0,0.7129920016354642
E01008657,8,0,0,0.28949681791655707
E01008658,4,0,0,0.5094198598371257
E01008659,6,0,0,0.40992252118686245
E01008660,8,0,0,0.6178887472700009
E01008661,8,0,0,0.7971639819875671
E01008662,6,0,0,0.754775774206448
E01008663,4,0,0,0.7534171464495146
E01008664,11,0,0,0.31997180651187296
E01008665,10,0,0,0.36569578967670546
E01008666,12,0,0,0.5391068560919047
E01008667,11,0,0,0.6514038952565341
E01008668,12,0,0,0.5148932138197436
E01008669,7,0,0,0.5535115916438128
E01008670,7,0,0,0.6724115149905098
E01008671,10,0,0,0.3529082917208918
E01008672,4,0,0,0.5325065750752789
E01008673,9,0,0,0.6173318910890551
E01008674,6,0,0,0.6397908002158056
E01008675,10,0,0,0.6293226043511274
E01008676,11,0,0,0.6266407748286631
E01008677,9,0,0,0.7685041267877916
E01008678,11,0,0,0.4277997697177948
E01008679,9,0,0,0.5507424174598754
E01008680,9,0,0,0.3309412111241471
E01008681,6,0,0,0.6424161288694105
E01008682,8,0,0,0.8890168465857741
E01008683,11,0,0,0.8556113624201829
E01008684,4,0,0,0.38244241874478646
E01008685,4,0,0,0.5792903802332876
E01008686,4,0,0,0.5615386714545518
E01008687,4,0,0,0.6637576412577915
E01008688,8,0,0,0.53248954933138
E01008689,8,0,0,0.5480831085911865
E01008690,4,0,0,0.5474625227778526
E01008691,4,0,0,0.5086533374273685
E01008692,3,0,0,0.5089450281283067
E01008693,8,0,0,0.5926908192684618
E01008694,4,0,0,0.6942838455531958
E01008695,4,0,0,0.5644692410902832
E01008696,4,0,0,0.40620202004024164
E01008697,3,0,0,0.5946519404201116
E01008698,4,0,0,0.7350625229562104
E01008699,4,0,0,0.6957830434160621
E01008700,11,0,0,0.3038384277948608
E01008701,11,0,0,0.6537885274199355
E01008702,12,0,0,0.3506671772191118
E01008703,12,0,0,0.6896753760281806
E01008704,12,0,0,0.7346867369900473
E01008705,12,0,0,0.8159922029843039
E01008706,12,0,0,0.6151875225985013
E01008707,12,0,0,0.5570189560960301
E01008708,8,0,0,0.5965366594720826
E01008709,10,0,0,0.5615790911808709
E01008711,10,0,0,0.7945532515056761
E01008712,4,0,0,0.6767048978802604
E01008713,8,0,0,0.5930441979876109
E01008714,4,0,0,0.6536886716929452
E01008715,3,0,0,0.6625467847372036
E01008716,4,0,0,0.5566371116911341
E01008717,4,0,0,0.5598118384048016
E01008718,4,0,0,0.6684850473307702
E01008719,4,0,0,0.6387857141518378
E01008720,3,0,0,0.56456038321114
E01008721,4,0,0,0.7384773196535308
E01008722,7,0,0,0.7587056447267695
E01008723,8,0,0,0.5333033910471339
E01008724,3,0,0,0.7768004523457135
E01008725,8,0,0,0.5354475847027887
E01008726,8,0,0,0.6402549786114409
E01008727,9,0,0,0.5523252400968445
E01008728,8,0,0,0.5526268834202273
E01008729,3,0,0,0.6414751557671107
E01008730,3,0,0,0.6197693222494637
E01008731,3,0,0,0.6677298788408352
E01008732,3,0,0,0.5816384445545897
E01008733,3,0,0,0.5226822818553102
E01008734,3,0,0,0.5219532005400174
E01008735,11,0,0,0.8721342459229592
E01008736,11,0,0,0.38449573463704817
E01008737,7,0,0,0.6573270953043606
E01008738,7,0,0,0.8030947354633475
E01008739,7,0,0,0.513515195008431
E01008740,7,0,0,0.7126351715228058
E01008741,3,0,0,0.4084535376621431
E01008742,4,0,0,0.4868306390711424
E01008743,3,0,0,0.16546275922107231
E01008744,3,0,0,0.5032369179651623
E01008745,3,0,0,0.3760607134351914
E01008746,4,0,0,0.5242273262605733
E01008747,2,0,0,0.2134351557462778
E01008748,3,0,0,0.7694257202517556
E01008749,4,0,0,0.7310031569749411
E01008750,4,0,0,0.47944617187781524
E01008751,4,0,0,0.7474867575801357
E01008752,4,0,0,0.3872506106316883
E01008753,4,0,0,0.7521791341002102
E01008754,4,0,0,0.7431457194760046
E01008755,3,0,0,0.5656054578287921
E01008756,9,0,0,0.4434742683630339
E01008757,10,0,0,0.5183165713360417
E01008758,7,0,0,0.7226621170185135
E01008759,11,0,0,0.7875122872289015
E01008760,7,0,0,0.8196296422735188
E01008761,7,0,0,0.7560497825579613
E01008762,8,0,0,0.4146310089737912
E01008763,4,0,0,0.6421612797127854
E01008764,4,0,0,0.45527279909838336
E01008765,4,0,0,0.4796484720339288
E01008766,4,0,0,0.5890060792710827
E01008767,4,0,0,0.5470475435742718
E01008768,4,0,0,0.5919093814098014
E01008769,4,0,0,0.5599763048907789
E01008770,4,0,0,0.5272791010559922
E01008771,2,0,0,0.54640114436523
E01008772,3,0,0,0.5933390166754562
E01008773,4,0,0,0.7608120137805706
E01008774,6,0,0,0.6756275130620295
E01008775,4,0,0,0.5347042367947756
E01008776,3,0,0,0.7388835369364588
E01008777,4,0,0,0.5988454182467022
E01008778,7,0,0,0.7432869421357571
E01008779,7,0,0,0.5485011980799698
E01008780,3,0,0,0.5679578811588595
E01008781,7,0,0,0.6664394125460196
E01008782,7,0,0,0.49637003253937584
E01008783,5,0,0,0.4678182385972319
E01008784,5,0,0,0.5987932074636428
E01008785,4,0,0,0.49472522205110436
E01008786,10,0,0,0.5741116749520223
E01008787,10,0,0,0.5284083411446308
E01008788,10,0,0,0.6005844371988585
E01008789,12,0,0,0.5368536574346578
E01008790,10,0,0,0.48879236713492863
E01008791,11,0,0,0.5329247462578854
E01008792,8,0,0,0.8514415074512866
E01008793,4,0,0,0.6477525611941767
E01008795,4,0,0,0.5037940404210798
E01008796,4,0,0,0.6398981938033921
E01008797,4,0,0,0.446494789281819
E01008799,2,0,0,0.4604383935428579
E01008800,3,0,0,0.6483854414246164
E01008801,5,0,0,0.6460292694984865
E01008802,4,0,0,0.37580472727799813
E01008803,8,0,0,0.7211627965579495
E01008804,3,0,0,0.6600774487347147
E01008805,4,0,0,0.6914594845804223
E01008808,4,0,0,0.37730510998118033
E01008809,4,0,0,0.46600061040243435
E01008810,3,0,0,0.6028171052023439
E01008811,3,0,0,0.544791450374805
E01008812,6,0,0,0.5744960245383569
E01008813,7,0,0,0.6942903931917896
E01008814,3,0,0,0.49344857956046795
E01008817,8,0,0,0.6795001292299594
E01008819,8,0,0,0.7228127660106504
E01008820,8,0,0,0.547262660024644
E01008821,3,0,0,0.7557818169922219
E01008822,3,0,0,0.7057226209230666
E01008823,3,0,0,0.8501011775471892
E01008824,3,0,0,0.6819337767339091
E01008825,7,0,0,0.7054779854372332
E01008826,7,0,0,0.6774597315483053
E01008827,3,0,0,0.6956246465642533
E01008828,6,0,0,0.7927003537335192
E01008829,3,0,0,0.6522257011267566
E01008830,12,0,0,0.6507127334298802
E01008831,12,0,0,0.77427854829563
E01008832,12,0,0,0.5622182688915526
E01008833,11,0,0,0.7162083457881131
E01008834,12,0,0,0.7878491938645841
E01008835,11,0,0,0.8527448626276923
E01008836,12,0,0,0.5697012991738883
E01008837,4,0,0,0.6810055062246488
E01008838,4,0,0,0.6558140710277216
E01008839,4,0,0,0.7943561058205924
E01008840,3,0,0,0.6998780848798827
E01008841,4,0,0,0.7978700927195967
E01008842,8,0,0,0.6664101588122697
E01008843,4,0,0,0.7629169584469219
E01008844,3,0,0,0.5930149085856907
E01008845,3,0,0,0.5979060385374556
E01008846,3,0,0,0.6243813176519561
E01008847,3,0,0,0.4932125174553732
E01008848,3,0,0,0.7970004275663696
E01008849,3,0,0,0.690298275870699
E01008850,3,0,0,0.36035464561510006
E01008851,4,0,0,0.619581798445856
E01008852,5,0,0,0.6808184983813291
E01008853,3,0,0,0.5230236980642519
E01008854,3,0,0,0.5611644142234725
E01008855,3,0,0,0.18836031544399529
E01008856,4,0,0,0.6836770140442017
E01008857,4,0,0,0.7062980365494355
E01008858,8,0,0,0.7170711618701915
E01008859,3,0,0,0.42015090623847395
E01008860,8,0,0,0.4436316582611566
E01008861,4,0,0,0.546130924044126
E01008862,4,0,0,0.48391354365595535
E01008863,2,0,0,0.4486697850163088
E01008864,4,0,0,0.44836373844939864
E01008865,3,0,0,0.154183684039251
E01008866,4,0,0,0.49347551742363854
E01008867,3,0,0,0.556475684969651
E01008868,4,0,0,0.719098391542136
E01008869,4,0,0,0.7047618838272686
E01008870,4,0,0,0.5295928727862513
E01008871,3,0,0,0.4794330945115857
E01008872,4,0,0,0.4982997655448117
E01008873,3,0,0,0.340307400826056
E01008874,3,0,0,0.4148252297802548
E01008875,3,0,0,0.42865308442076094
E01008876,4,0,0,0.7169432396598259
E01008877,4,0,0,0.5329451879998396
E01008878,3,0,0,0.3869337263611
E01008879,3,0,0,0.23369769671969473
E01008880,3,0,0,0.43559857692217663
E01032483,3,0,0,0.22651136118786758
E01032484,3,0,0,0.4895338281176995
E01032647,4,0,0,0.6547869477731029
E01032648,4,0,0,0.6466671771670965
E01032649,5,0,0,0.497231547824014
E01032650,8,0,0,0.9281216444864888
E01033074,6,0,0,0.6115025027411154
E01033075,8,0,0,0.6185582995824991
E01033076,4,0,0,0.5685833631229794
E01033077,4,0,0,0.7290787580544604
E01033543,12,0,0,0.694914982506428
E01033545,12,0,0,0.4585644472845875
E01033547,11,0,0,0.6736712334523017
E01033548,11,0,0,0.8778113533598075
E01033550,8,0,0,0.5938035860986316
E01033551,4,0,0,0.5925662316627822
E01033553,12,0,0,0.751045994401801
E01033554,12,0,0,0.5090566400588499
E01033556,12,0,0,0.7515832042721255
